variable_name	field_id	visit_id	repetition_id	Field ID	Description	Category	Unnamed: 3	field_type	nice_description
20229-0.22	20229	0	22	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.23	20229	0	23	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.24	20229	0	24	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.25	20229	0	25	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.26	20229	0	26	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.27	20229	0	27	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.28	20229	0	28	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.29	20229	0	29	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.3	20229	0	3	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.30	20229	0	30	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.31	20229	0	31	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.32	20229	0	32	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.33	20229	0	33	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.34	20229	0	34	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.35	20229	0	35	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.36	20229	0	36	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.37	20229	0	37	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.38	20229	0	38	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.39	20229	0	39	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.4	20229	0	4	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.40	20229	0	40	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.41	20229	0	41	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.42	20229	0	42	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.43	20229	0	43	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.44	20229	0	44	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.45	20229	0	45	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.46	20229	0	46	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.47	20229	0	47	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.48	20229	0	48	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.49	20229	0	49	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.5	20229	0	5	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.50	20229	0	50	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.51	20229	0	51	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.52	20229	0	52	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.53	20229	0	53	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.54	20229	0	54	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.55	20229	0	55	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.56	20229	0	56	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.57	20229	0	57	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.58	20229	0	58	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.59	20229	0	59	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.6	20229	0	6	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.60	20229	0	60	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.61	20229	0	61	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.62	20229	0	62	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.63	20229	0	63	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.64	20229	0	64	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.65	20229	0	65	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.66	20229	0	66	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.67	20229	0	67	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.68	20229	0	68	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.69	20229	0	69	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.7	20229	0	7	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.70	20229	0	70	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.71	20229	0	71	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.72	20229	0	72	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.73	20229	0	73	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.74	20229	0	74	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.75	20229	0	75	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.76	20229	0	76	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.77	20229	0	77	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.78	20229	0	78	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.79	20229	0	79	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.8	20229	0	8	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.80	20229	0	80	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.81	20229	0	81	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.82	20229	0	82	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.83	20229	0	83	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.84	20229	0	84	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.85	20229	0	85	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.86	20229	0	86	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.87	20229	0	87	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.88	20229	0	88	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.89	20229	0	89	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.9	20229	0	9	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.90	20229	0	90	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.91	20229	0	91	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.92	20229	0	92	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.93	20229	0	93	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.94	20229	0	94	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.95	20229	0	95	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.96	20229	0	96	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.97	20229	0	97	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.98	20229	0	98	20229	Values entered	Symbol digit substitution		integer	Values_entered
20229-0.99	20229	0	99	20229	Values entered	Symbol digit substitution		integer	Values_entered
20230-0.0	20230	0	0	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.1	20230	0	1	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.10	20230	0	10	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.100	20230	0	100	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.101	20230	0	101	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.102	20230	0	102	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.103	20230	0	103	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.104	20230	0	104	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.105	20230	0	105	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.106	20230	0	106	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.107	20230	0	107	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.108	20230	0	108	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.109	20230	0	109	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.11	20230	0	11	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.110	20230	0	110	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.111	20230	0	111	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.112	20230	0	112	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.113	20230	0	113	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.114	20230	0	114	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.115	20230	0	115	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.116	20230	0	116	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.12	20230	0	12	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.13	20230	0	13	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.14	20230	0	14	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.15	20230	0	15	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.16	20230	0	16	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.17	20230	0	17	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.18	20230	0	18	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.19	20230	0	19	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.2	20230	0	2	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.20	20230	0	20	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.21	20230	0	21	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.22	20230	0	22	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.23	20230	0	23	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.24	20230	0	24	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.25	20230	0	25	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.26	20230	0	26	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.27	20230	0	27	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.28	20230	0	28	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.29	20230	0	29	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.3	20230	0	3	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.30	20230	0	30	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.31	20230	0	31	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.32	20230	0	32	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.33	20230	0	33	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.34	20230	0	34	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.35	20230	0	35	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.36	20230	0	36	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.37	20230	0	37	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.38	20230	0	38	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.39	20230	0	39	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.4	20230	0	4	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.40	20230	0	40	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.41	20230	0	41	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.42	20230	0	42	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.43	20230	0	43	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.44	20230	0	44	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.45	20230	0	45	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.46	20230	0	46	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.47	20230	0	47	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.48	20230	0	48	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.49	20230	0	49	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.5	20230	0	5	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.50	20230	0	50	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.51	20230	0	51	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.52	20230	0	52	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.53	20230	0	53	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.54	20230	0	54	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.55	20230	0	55	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.56	20230	0	56	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.57	20230	0	57	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.58	20230	0	58	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.59	20230	0	59	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.6	20230	0	6	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.60	20230	0	60	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.61	20230	0	61	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.62	20230	0	62	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.63	20230	0	63	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.64	20230	0	64	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.65	20230	0	65	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.66	20230	0	66	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.67	20230	0	67	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.68	20230	0	68	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.69	20230	0	69	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.7	20230	0	7	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.70	20230	0	70	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.71	20230	0	71	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.72	20230	0	72	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.73	20230	0	73	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.74	20230	0	74	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.75	20230	0	75	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.76	20230	0	76	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.77	20230	0	77	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.78	20230	0	78	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.79	20230	0	79	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.8	20230	0	8	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.80	20230	0	80	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.81	20230	0	81	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.82	20230	0	82	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.83	20230	0	83	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.84	20230	0	84	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.85	20230	0	85	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.86	20230	0	86	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.87	20230	0	87	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.88	20230	0	88	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.89	20230	0	89	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.9	20230	0	9	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.90	20230	0	90	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.91	20230	0	91	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.92	20230	0	92	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.93	20230	0	93	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.94	20230	0	94	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.95	20230	0	95	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.96	20230	0	96	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.97	20230	0	97	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.98	20230	0	98	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20230-0.99	20230	0	99	20230	Duration to entering symbol choice	Symbol digit substitution		integer	Duration_to_entering_symbol_choice
20240-0.0	20240	0	0	20240	Maximum digits remembered correctly	Numeric memory		integer	Maximum_digits_remembered_correctly
20242-0.0	20242	0	0	20242	Fluid intelligence completion status	Fluid intelligence / reasoning		categorical_single	Fluid_intelligence_completion_status
20244-0.0	20244	0	0	20244	Pairs matching completion status	Pairs matching		categorical_single	Pairs_matching_completion_status
20245-0.0	20245	0	0	20245	Symbol digit completion status	Symbol digit substitution		categorical_single	Symbol_digit_completion_status
20246-0.0	20246	0	0	20246	Trail making completion status	Trail making		categorical_single	Trail_making_completion_status
20247-0.0	20247	0	0	20247	Total errors traversing numeric path (trail #1)	Trail making		integer	Total_errors_traversing_numeric_path_(trail_#1)
20248-0.0	20248	0	0	20248	Total errors traversing alphanumeric path (trail #2)	Trail making		integer	Total_errors_traversing_alphanumeric_path_(trail_#2)
20249-2.0	20249	2	0						
20249-3.0	20249	3	0						
20250-2.0	20250	2	0						
20250-3.0	20250	3	0						
20251-2.0	20251	2	0						
20251-3.0	20251	3	0						
20252-2.0	20252	2	0						
20252-3.0	20252	3	0						
20253-2.0	20253	2	0						
20253-3.0	20253	3	0						
20255-0.0	20255	0	0	20255	Spirometry QC measure	Spirometry		categorical_single	Spirometry_QC_measure
20256-0.0	20256	0	0	20256	Forced expiratory volume in 1-second (FEV1) Z-score	Spirometry		continuous	Forced_expiratory_volume_in_1-second_(FEV1)_Z-score
20257-0.0	20257	0	0	20257	Forced vital capacity (FVC) Z-score	Spirometry		continuous	Forced_vital_capacity_(FVC)_Z-score
20258-0.0	20258	0	0	20258	FEV1/ FVC ratio Z-score	Spirometry		continuous	FEV1/_FVC_ratio_Z-score
20261-0.0	20261	0	0	20261	avMSE	Visual acuity		continuous	avMSE
20262-0.0	20262	0	0	20262	Myopia diagnosis	Visual acuity		categorical_single	Myopia_diagnosis
20263-2.0	20263	2	0						
20263-3.0	20263	3	0						
2030-0.0	2030	0	0	2030	Guilty feelings	Mental health		categorical_single	Guilty_feelings
2030-1.0	2030	1	0	2030	Guilty feelings	Mental health		categorical_single	Guilty_feelings
2030-2.0	2030	2	0	2030	Guilty feelings	Mental health		categorical_single	Guilty_feelings
2030-3.0	2030	3	0	2030	Guilty feelings	Mental health		categorical_single	Guilty_feelings
2040-0.0	2040	0	0	2040	Risk taking	Mental health		categorical_single	Risk_taking
2040-1.0	2040	1	0	2040	Risk taking	Mental health		categorical_single	Risk_taking
2040-2.0	2040	2	0	2040	Risk taking	Mental health		categorical_single	Risk_taking
2040-3.0	2040	3	0	2040	Risk taking	Mental health		categorical_single	Risk_taking
20400-0.0	20400	0	0	20400	Date of completing mental health questionnaire	Mental health		date	Date_of_completing_mental_health_questionnaire
20401-0.0	20401	0	0	20401	Ever addicted to any substance or behaviour	Addictions		categorical_single	Ever_addicted_to_any_substance_or_behaviour
20403-0.0	20403	0	0	20403	Amount of alcohol drunk on a typical drinking day	Alcohol use		categorical_single	Amount_of_alcohol_drunk_on_a_typical_drinking_day
20404-0.0	20404	0	0	20404	Ever physically dependent on alcohol	Addictions		categorical_single	Ever_physically_dependent_on_alcohol
20405-0.0	20405	0	0	20405	Ever had known person concerned about, or recommend reduction of, alcohol consumption	Alcohol use		categorical_single	Ever_had_known_person_concerned_about,_or_recommend_reduction_of,_alcohol_consumption
20406-0.0	20406	0	0	20406	Ever addicted to alcohol	Addictions		categorical_single	Ever_addicted_to_alcohol
20407-0.0	20407	0	0	20407	Frequency of failure to fulfil normal expectations due to drinking alcohol in last year	Alcohol use		categorical_single	Frequency_of_failure_to_fulfil_normal_expectations_due_to_drinking_alcohol_in_last_year
20408-0.0	20408	0	0	20408	Frequency of memory loss due to drinking alcohol in last year	Alcohol use		categorical_single	Frequency_of_memory_loss_due_to_drinking_alcohol_in_last_year
20409-0.0	20409	0	0	20409	Frequency of feeling guilt or remorse after drinking alcohol in last year	Alcohol use		categorical_single	Frequency_of_feeling_guilt_or_remorse_after_drinking_alcohol_in_last_year
20410-0.0	20410	0	0	20410	Age when known person last commented about drinking habits	Alcohol use		integer	Age_when_known_person_last_commented_about_drinking_habits
20411-0.0	20411	0	0	20411	Ever been injured or injured someone else through drinking alcohol	Alcohol use		categorical_single	Ever_been_injured_or_injured_someone_else_through_drinking_alcohol
20412-0.0	20412	0	0	20412	Frequency of needing morning drink of alcohol after heavy drinking session in last year	Alcohol use		categorical_single	Frequency_of_needing_morning_drink_of_alcohol_after_heavy_drinking_session_in_last_year
20413-0.0	20413	0	0	20413	Frequency of inability to cease drinking in last year	Alcohol use		categorical_single	Frequency_of_inability_to_cease_drinking_in_last_year
20414-0.0	20414	0	0	20414	Frequency of drinking alcohol	Alcohol use		categorical_single	Frequency_of_drinking_alcohol
20415-0.0	20415	0	0	20415	Ongoing addiction to alcohol	Addictions		categorical_single	Ongoing_addiction_to_alcohol
20416-0.0	20416	0	0	20416	Frequency of consuming six or more units of alcohol	Alcohol use		categorical_single	Frequency_of_consuming_six_or_more_units_of_alcohol
20417-0.0	20417	0	0	20417	Tense, sore, or aching muscles during worst period of anxiety	Anxiety		categorical_single	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety
20418-0.0	20418	0	0	20418	Impact on normal roles during worst period of anxiety	Anxiety		categorical_single	Impact_on_normal_roles_during_worst_period_of_anxiety
20419-0.0	20419	0	0	20419	Difficulty concentrating during worst period of anxiety	Anxiety		categorical_single	Difficulty_concentrating_during_worst_period_of_anxiety
20420-0.0	20420	0	0	20420	Longest period spent worried or anxious	Anxiety		integer	Longest_period_spent_worried_or_anxious
20421-0.0	20421	0	0	20421	Ever felt worried, tense, or anxious for most of a month or longer	Anxiety		categorical_single	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer
20422-0.0	20422	0	0	20422	More irritable than usual during worst period of anxiety	Anxiety		categorical_single	More_irritable_than_usual_during_worst_period_of_anxiety
20423-0.0	20423	0	0	20423	Keyed up or on edge during worst period of anxiety	Anxiety		categorical_single	Keyed_up_or_on_edge_during_worst_period_of_anxiety
20425-0.0	20425	0	0	20425	Ever worried more than most people would in similar situation	Anxiety		categorical_single	Ever_worried_more_than_most_people_would_in_similar_situation
20426-0.0	20426	0	0	20426	Restless during period of worst anxiety	Anxiety		categorical_single	Restless_during_period_of_worst_anxiety
20427-0.0	20427	0	0	20427	Frequent trouble falling or staying asleep during worst period of anxiety	Anxiety		categorical_single	Frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety
20428-0.0	20428	0	0	20428	Professional informed about anxiety	Anxiety		categorical_single	Professional_informed_about_anxiety
20429-0.0	20429	0	0	20429	Easily tired during worst period of anxiety	Anxiety		categorical_single	Easily_tired_during_worst_period_of_anxiety
20431-0.0	20431	0	0	20431	Ever addicted to a behaviour or miscellanous	Addictions		categorical_single	Ever_addicted_to_a_behaviour_or_miscellanous
20432-0.0	20432	0	0	20432	Ongoing behavioural or miscellanous addiction	Addictions		categorical_single	Ongoing_behavioural_or_miscellanous_addiction
20433-0.0	20433	0	0	20433	Age at first episode of depression	Depression		integer	Age_at_first_episode_of_depression
20434-0.0	20434	0	0	20434	Age at last episode of depression	Depression		integer	Age_at_last_episode_of_depression
20435-0.0	20435	0	0	20435	Difficulty concentrating during worst depression	Depression		categorical_single	Difficulty_concentrating_during_worst_depression
